Country.name;Regional.indicator;Ladder.score;Standard.error.of.ladder.score;upperwhisker;lowerwhisker;Logged.GDP.per.capita;Social.support;Healthy.life.expectancy;Freedom.to.make.life.choices;Generosity;Perceptions.of.corruption;Dystopia
Finland;Western Europe;7842;32;7904;7780;10775;954;72000;949;-98;186;3253
Denmark;Western Europe;7620;35;7687;7552;10933;954;72700;946;30;179;2868
Switzerland;Western Europe;7571;36;7643;7500;11117;942;74400;919;25;292;2839
Iceland;Western Europe;7554;59;7670;7438;10878;983;73000;955;160;673;2967
Netherlands;Western Europe;7464;27;7518;7410;10932;942;72400;913;175;338;2798
Norway;Western Europe;7392;35;7462;7323;11053;954;73300;960;93;270;2580
Sweden;Western Europe;7363;36;7433;7293;10867;934;72700;945;86;237;2683
Luxembourg;Western Europe;7324;37;7396;7252;11647;908;72600;907;-34;386;2653
New Zealand;North America and ANZ;7277;40;7355;7198;10643;948;73400;929;134;242;2612
Austria;Western Europe;7268;36;7337;7198;10906;934;73300;908;42;481;2784
Australia;North America and ANZ;7183;41;7265;7102;10796;940;73900;914;159;442;2598
Israel;Middle East and North Africa;7157;34;7224;7090;10575;939;73503;800;31;753;3083
Germany;Western Europe;7155;40;7232;7077;10873;903;72500;875;11;460;2824
Canada;North America and ANZ;7103;42;7185;7021;10776;926;73800;915;89;415;2585
Ireland;Western Europe;7085;40;7164;7006;11342;947;72400;879;77;363;2384
Costa Rica;Latin America and Caribbean;7069;56;7179;6960;9880;891;71400;934;-126;809;3387
United Kingdom;Western Europe;7064;38;7138;6990;10707;934;72500;859;233;459;2596
Czech Republic;Central and Eastern Europe;6965;49;7062;6868;10556;947;70807;858;-208;868;3124
United States;North America and ANZ;6951;49;7047;6856;11023;920;68200;837;98;698;2807
Belgium;Western Europe;6834;34;6901;6767;10823;906;72199;783;-153;646;2862
France;Western Europe;6690;37;6762;6618;10704;942;74000;822;-147;571;2521
Bahrain;Middle East and North Africa;6647;68;6779;6514;10669;862;69495;925;89;722;2631
Malta;Western Europe;6602;44;6688;6516;10674;931;72200;927;133;653;2268
Taiwan Province of China;East Asia;6584;38;6659;6510;10871;898;69600;784;-70;721;2687
United Arab Emirates;Middle East and North Africa;6561;39;6637;6484;11085;844;67333;932;74;589;2422
Saudi Arabia;Middle East and North Africa;6494;56;6604;6384;10743;891;66603;877;-149;684;2668
Spain;Western Europe;6491;42;6574;6408;10571;932;74700;761;-81;745;2513
Italy;Western Europe;6483;45;6572;6395;10623;880;73800;693;-84;866;2794
Slovenia;Central and Eastern Europe;6461;43;6546;6376;10529;948;71400;949;-101;806;2388
Guatemala;Latin America and Caribbean;6435;73;6577;6292;9053;813;64958;906;-38;775;3375
Uruguay;Latin America and Caribbean;6431;46;6521;6341;9966;925;69100;896;-92;590;2600
Singapore;Southeast Asia;6377;43;6460;6293;11488;915;76953;927;-18;82;1379
Kosovo;Central and Eastern Europe;6372;59;6487;6257;9318;821;63813;869;257;917;3182
Slovakia;Central and Eastern Europe;6331;41;6411;6251;10369;936;69201;766;-124;911;2714
Brazil;Latin America and Caribbean;6330;43;6415;6245;9577;882;66601;804;-71;756;3015
Mexico;Latin America and Caribbean;6317;53;6420;6213;9859;831;68597;862;-147;799;2961
Jamaica;Latin America and Caribbean;6309;156;6615;6004;9186;877;67500;890;-137;884;3135
Lithuania;Central and Eastern Europe;6255;45;6344;6167;10499;935;67906;773;-203;826;2624
Cyprus;Western Europe;6223;49;6319;6128;10576;802;73898;763;-15;844;2578
Estonia;Central and Eastern Europe;6189;38;6263;6115;10481;941;68800;909;-106;527;2103
Panama;Latin America and Caribbean;6180;73;6323;6036;10350;896;69652;872;-166;856;2509
Uzbekistan;Commonwealth of Independent States;6179;68;6312;6045;8836;918;65255;970;311;515;2477
